query_id,topic,turn,raw,human,rewriter_1_rewrite,rewriter_2_rewrite,r1_delta_R@100,r1_delta_RR@10,r1_delta_nDCG@10,r1_classification,r2_delta_R@100,r2_delta_RR@10,r2_delta_nDCG@10,r2_classification
81_1,81,1,How do you know when your garage door opener is going bad?,How do you know when your garage door opener is going bad?,signs of a failing garage door opener,How do you know when your garage door opener is going bad? signs symptoms failing malfunction,-0.044444444444444425,-0.5,-0.1652272289214685,degraded,0.04444444444444445,-0.5,-0.10267916402543834,degraded
81_2,81,2,Now it stopped working. Why?,Now my garage door opener stopped working. Why?,Why would a garage door opener stop working?,Why did the garage door opener stop working? garage door motor failure malfunction,0.5306122448979592,1.0,0.3602584225770206,improved,0.46938775510204084,0.5,0.3529216080699368,improved
81_3,81,3,How much does it cost for someone to fix it?,How much does it cost for someone to repair a garage door opener?,How much does it cost to have a broken garage door opener fixed?,How much does it cost for someone to fix a garage door opener? repair price service fee,0.5333333333333333,1.0,0.27970360154261575,improved,0.9333333333333333,0.5,0.28620896363210346,improved
81_4,81,4,How about replacing it instead?,How much does it cost to replace a garage door opener?,How much does it cost to replace a garage door opener?,cost to replace garage door opener replacement price,0.47368421052631576,1.0,0.1965716879660893,improved,0.5789473684210527,0.5,0.2319244819103344,improved
81_5,81,5,How do I choose a new one?,How do I choose a new garage door opener?,How do I choose a new garage door opener?,How do I choose a new garage door opener? select purchase guide,0.6944444444444444,0.5,0.32911464830045123,improved,0.6388888888888888,1.0,0.26743287569201857,improved
81_6,81,6,What does a smart one do?,What does a smart garage door opener do?,What are the features of a smart garage door opener?,What does a smart garage door opener do? smart garage door opener features functionality,0.5,1.0,0.3773506502922273,improved,0.5,1.0,0.37063123376658696,improved
81_7,81,7,What's important for me to know about their safety?,What's important for me to know about the safety of smart garage door openers?,What are the important safety considerations for smart garage door openers?,What is important to know about the safety of smart garage door openers smart garage door safety features,0.6,1.0,0.5531464700081437,improved,0.6,1.0,0.5531464700081437,improved
81_8,81,8,How could they be hacked?,How could smart garage door openers be hacked?,How can smart garage door openers be hacked?,How could smart garage door openers be hacked? cybersecurity vulnerability security breach,0.19047619047619047,1.0,0.325369033355286,improved,0.09523809523809523,0.2,0.1012688198707271,improved
82_1,82,1,I would like to learn about GMO Food labeling.,I would like to learn about GMO Food labeling.,GMO food labeling,GMO food labeling genetically modified organisms bioengineered food,0.06730769230769229,0.0,0.026794108147268347,improved,-0.25961538461538464,0.0,-0.20758321107662941,degraded
82_2,82,2,What are the pros and cons?,What are the pros and cons of GMO food labeling?,pros and cons of GMO food labeling,pros and cons of GMO food labeling genetically modified organisms bioengineered foods,0.7272727272727273,0.3333333333333333,0.08274387012220105,improved,0.38636363636363635,0.14285714285714285,0.03110018913594011,improved
82_3,82,3,And what about the cons?,What are the cons of GMO food labeling?,What are the cons of GMO food labeling?,cons of GMO food labeling disadvantages,0.7368421052631579,0.0,0.0,tied,0.7368421052631579,0.25,0.09478836436955078,improved
82_4,82,4,What are the EU rules?,What are the GMO food labeling rules in the EU?,What are the EU rules for GMO food labeling?,EU rules for GMO food labeling genetically modified organisms European Union regulations,0.5499999999999999,0.0,0.2537657327016027,improved,0.5,-0.6666666666666667,0.0635297760102875,improved
82_5,82,5,Tell me more about traceability tools.,Tell me about traceability tools for GMO foods in the EU.,traceability tools for GMO food labeling in the EU,GMO food labeling traceability tools tracking systems monitoring,0.375,1.0,0.5856005128185005,improved,0.4583333333333333,1.0,0.5175192235467623,improved
