query_id,doc_id,rank,score,method
81_1,MARCO_6154874,1,23.265274047851562,human
81_1,MARCO_6568085,2,21.818201065063477,human
81_1,MARCO_8454278,3,21.524202346801758,human
81_1,MARCO_1945738,4,21.26990509033203,human
81_1,MARCO_8136171,5,21.19120216369629,human
81_1,MARCO_6115072,6,20.99292755126953,human
81_1,MARCO_6154877,7,20.762998580932617,human
81_1,MARCO_6154876,8,20.58006477355957,human
81_1,MARCO_6906782,9,20.534738540649414,human
81_1,MARCO_7517889,10,20.389873504638672,human
81_1,MARCO_6542464,11,20.22308349609375,human
81_1,MARCO_1945742,12,20.194822311401367,human
81_1,MARCO_888456,13,20.051183700561523,human
81_1,MARCO_5241444,14,20.01721954345703,human
81_1,MARCO_6157928,15,19.961570739746094,human
81_1,MARCO_6549133,16,19.91510772705078,human
81_1,MARCO_2950629,17,19.89033317565918,human
81_1,MARCO_2481727,18,19.88224983215332,human
81_1,MARCO_8581568,19,19.849721908569336,human
81_1,MARCO_2750799,20,19.80128288269043,human
81_1,MARCO_8270730,21,19.79720687866211,human
81_1,MARCO_3517569,22,19.740859985351562,human
81_1,MARCO_5498475,23,19.710613250732422,human
81_1,MARCO_5171382,24,19.70335578918457,human
81_1,MARCO_7517892,25,19.678524017333984,human
81_1,MARCO_1945736,26,19.66230010986328,human
81_1,MARCO_4532453,27,19.592844009399414,human
81_1,MARCO_2950634,28,19.518850326538086,human
81_1,MARCO_1900273,29,19.50208282470703,human
81_1,MARCO_5679018,30,19.482563018798828,human
81_1,MARCO_8270733,31,19.325986862182617,human
81_1,MARCO_6657353,32,19.320114135742188,human
81_1,MARCO_6245022,33,19.297439575195312,human
81_1,MARCO_6087035,34,19.28809356689453,human
81_1,MARCO_2023663,35,19.24091339111328,human
81_1,MARCO_6154873,36,19.212387084960938,human
81_1,MARCO_4516819,37,19.196205139160156,human
81_1,MARCO_7095686,38,19.167476654052734,human
81_1,MARCO_6154878,39,19.145326614379883,human
81_1,MARCO_3024763,40,19.122289657592773,human
81_1,MARCO_5665857,41,19.119800567626953,human
81_1,MARCO_888457,42,19.06041717529297,human
81_1,MARCO_1900270,43,19.05170249938965,human
81_1,MARCO_7308619,44,19.041284561157227,human
81_1,MARCO_3588972,45,18.967147827148438,human
81_1,MARCO_8275265,46,18.909406661987305,human
81_1,MARCO_5692955,47,18.859682083129883,human
81_1,MARCO_35626,48,18.825069427490234,human
81_1,MARCO_3942600,49,18.78475570678711,human
81_1,MARCO_7308614,50,18.773326873779297,human
81_1,MARCO_6024403,51,18.765722274780273,human
81_1,MARCO_1381087,52,18.76572036743164,human
81_1,MARCO_700026,53,18.741395950317383,human
81_1,MARCO_4532454,54,18.698116302490234,human
81_1,MARCO_6087037,55,18.683427810668945,human
81_1,MARCO_7987331,56,18.679279327392578,human
81_1,MARCO_6162563,57,18.59469985961914,human
81_1,MARCO_6015699,58,18.511539459228516,human
81_1,MARCO_6024409,59,18.500991821289062,human
81_1,MARCO_4723901,60,18.445852279663086,human
81_1,MARCO_3096653,61,18.431074142456055,human
81_1,MARCO_5498468,62,18.42610740661621,human
81_1,MARCO_1767684,63,18.413488388061523,human
81_1,MARCO_3096658,64,18.407245635986328,human
81_1,MARCO_5593358,65,18.402009963989258,human
81_1,MARCO_3212800,66,18.40157127380371,human
81_1,MARCO_7517887,67,18.396930694580078,human
81_1,MARCO_6801809,68,18.35933494567871,human
81_1,MARCO_3212805,69,18.346879959106445,human
81_1,MARCO_4438563,70,18.33063507080078,human
81_1,MARCO_7095687,71,18.26666831970215,human
81_1,MARCO_5053501,72,18.253198623657227,human
81_1,MARCO_8447927,73,18.219812393188477,human
81_1,MARCO_7517883,74,18.193931579589844,human
81_1,MARCO_7517884,75,18.193931579589844,human
81_1,MARCO_7713531,76,18.11672019958496,human
