query_id,rewrite,model,method
81_1,signs of a failing garage door opener,gemma4:31b,rewriter 1
81_2,Why would a garage door opener stop working?,gemma4:31b,rewriter 1
81_3,How much does it cost to have a broken garage door opener fixed?,gemma4:31b,rewriter 1
81_4,How much does it cost to replace a garage door opener?,gemma4:31b,rewriter 1
81_5,How do I choose a new garage door opener?,gemma4:31b,rewriter 1
81_6,What are the features of a smart garage door opener?,gemma4:31b,rewriter 1
81_7,What are the important safety considerations for smart garage door openers?,gemma4:31b,rewriter 1
81_8,How can smart garage door openers be hacked?,gemma4:31b,rewriter 1
82_1,GMO food labeling,gemma4:31b,rewriter 1
82_2,pros and cons of GMO food labeling,gemma4:31b,rewriter 1
82_3,What are the cons of GMO food labeling?,gemma4:31b,rewriter 1
82_4,What are the EU rules for GMO food labeling?,gemma4:31b,rewriter 1
82_5,traceability tools for GMO food labeling in the EU,gemma4:31b,rewriter 1
82_6,What is the role of Co-Extra in GMO food labeling traceability tools?,gemma4:31b,rewriter 1
82_7,How is testing for GMO food contamination done?,gemma4:31b,rewriter 1
82_8,What is the difference between the European and US approaches to GMO food labeling?,gemma4:31b,rewriter 1
82_9,How does the DNA-based method for testing GMO food contamination work?,gemma4:31b,rewriter 1
82_10,How could Co-Extra improve DNA-based testing for GMO contamination?,gemma4:31b,rewriter 1
83_1,interesting facts about bees,gemma4:31b,rewriter 1
83_2,Why doesn't honey spoil?,gemma4:31b,rewriter 1
83_3,Why are so many bees dying?,gemma4:31b,rewriter 1
83_4,What can be done to stop bees from dying?,gemma4:31b,rewriter 1
83_5,What has happened to the habitat of bees?,gemma4:31b,rewriter 1
83_6,What can I do to help stop the decline of bee populations and the loss of their habitat?,gemma4:31b,rewriter 1
83_7,What is the cause of Colony Collapse Disorder (CCD) in bees?,gemma4:31b,rewriter 1
83_8,What would happen if bees died out?,gemma4:31b,rewriter 1
84_1,How does seed investment work for startups?,gemma4:31b,rewriter 1
84_2,How do angel investment rounds work for startups?,gemma4:31b,rewriter 1
84_3,How does angel investment compare with crowdfunding for startups?,gemma4:31b,rewriter 1
84_4,What is a typical Series A investment round amount for startups?,gemma4:31b,rewriter 1
84_5,"What are the risks of investing in startup seed, angel, crowdfunding, and Series A rounds?",gemma4:31b,rewriter 1
84_6,What are the different types of instruments used by venture capitalists?,gemma4:31b,rewriter 1
85_1,used Lamborghini cost,gemma4:31b,rewriter 1
85_2,How does the cost of a used Lamborghini compare to a used Ferrari?,gemma4:31b,rewriter 1
85_3,How much does a pimped-out food truck cost?,gemma4:31b,rewriter 1
85_4,What licenses and permits are needed for a pimped-out food truck?,gemma4:31b,rewriter 1
85_5,What makes a good location for a food truck?,gemma4:31b,rewriter 1
85_6,What is a typical day like for a food truck owner?,gemma4:31b,rewriter 1
85_7,How can I run a pimped-out food truck successfully?,gemma4:31b,rewriter 1
85_8,What are some good examples of successfully run food trucks to learn from?,gemma4:31b,rewriter 1
85_9,What made the successful food truck examples successful besides inventive flavors?,gemma4:31b,rewriter 1
86_1,What is the climate like in Utah?,gemma4:31b,rewriter 1
86_2,How does the climate in Salt Lake City differ from the climate in Utah?,gemma4:31b,rewriter 1
86_3,What is the main economic activity of Salt Lake City?,gemma4:31b,rewriter 1
86_4,What was the impact of the 2002 Olympic games on Salt Lake City?,gemma4:31b,rewriter 1
86_5,"What were the important ski locations used in the 2002 games in Salt Lake City, Utah?",gemma4:31b,rewriter 1
86_6,What are the important non-ski events that happen in Salt Lake City?,gemma4:31b,rewriter 1
86_7,"What are some popular non-winter things to do in Salt Lake City, Utah?",gemma4:31b,rewriter 1
87_1,different types of orange trees,gemma4:31b,rewriter 1
87_2,How can you tell the different types of orange trees apart?,gemma4:31b,rewriter 1
87_3,Which type of orange tree has thorns?,gemma4:31b,rewriter 1
87_4,Where do the different types of orange trees originally come from?,gemma4:31b,rewriter 1
87_5,Hamlin orange tree variety details,gemma4:31b,rewriter 1
87_7,What are the different types of navel orange trees?,gemma4:31b,rewriter 1
87_8,Which type of navel orange is the most delicious?,gemma4:31b,rewriter 1
87_9,How do navel oranges compare with blood oranges?,gemma4:31b,rewriter 1
88_1,labor systems of the Ottoman Empire,gemma4:31b,rewriter 1
88_2,What was the role of slavery in the labor systems of the Ottoman Empire?,gemma4:31b,rewriter 1
88_3,How did the Ottoman Empire govern its labor systems and slavery?,gemma4:31b,rewriter 1
88_4,Why was slavery important to the labor systems and governance of the Ottoman Empire?,gemma4:31b,rewriter 1
88_5,What was the culture of the labor systems and slavery in the Ottoman Empire?,gemma4:31b,rewriter 1
88_6,What was the role of storytellers in the culture of the Ottoman Empire?,gemma4:31b,rewriter 1
88_7,What were popular stories told by storytellers in the Ottoman Empire?,gemma4:31b,rewriter 1
88_8,What was the importance of the millet system in the Ottoman Empire?,gemma4:31b,rewriter 1
88_9,Why did the British continue the millet system in the Ottoman Empire?,gemma4:31b,rewriter 1
