query_id,doc_id,rank,score,method
81_1,CAR_9d876ce97eb7944e93364706b38c61c8d3953cc2,1,15.316367149353027,rewriter 1
81_1,MARCO_6087033,2,14.979705810546875,rewriter 1
81_1,MARCO_6024403,3,14.86556625366211,rewriter 1
81_1,MARCO_1900272,4,14.862266540527344,rewriter 1
81_1,MARCO_1619653,5,14.794487953186035,rewriter 1
81_1,MARCO_1815947,6,14.758023262023926,rewriter 1
81_1,MARCO_2554777,7,14.51344108581543,rewriter 1
81_1,MARCO_3780358,8,14.331873893737793,rewriter 1
81_1,MARCO_6273827,9,14.302282333374023,rewriter 1
81_1,MARCO_1619657,10,14.23499870300293,rewriter 1
81_1,MARCO_7860538,11,14.200873374938965,rewriter 1
81_1,MARCO_5490360,12,14.196756362915039,rewriter 1
81_1,MARCO_6087030,13,14.185163497924805,rewriter 1
81_1,MARCO_7308614,14,14.151533126831055,rewriter 1
81_1,MARCO_7246607,15,14.139552116394043,rewriter 1
81_1,MARCO_2174818,16,13.896259307861328,rewriter 1
81_1,MARCO_5844152,17,13.87363052368164,rewriter 1
81_1,MARCO_1293775,18,13.861715316772461,rewriter 1
81_1,MARCO_6154874,19,13.815171241760254,rewriter 1
81_1,MARCO_3212807,20,13.799566268920898,rewriter 1
81_1,MARCO_2174813,21,13.755191802978516,rewriter 1
81_1,MARCO_6087039,22,13.729631423950195,rewriter 1
81_1,MARCO_8052399,23,13.65902328491211,rewriter 1
81_1,MARCO_8270730,24,13.648530960083008,rewriter 1
81_1,MARCO_4532452,25,13.635316848754883,rewriter 1
81_1,CAR_82e2512becbd3c7fe7614857c4d01841330b2a14,26,13.630240440368652,rewriter 1
81_1,MARCO_8270731,27,13.606478691101074,rewriter 1
81_1,MARCO_5934326,28,13.595988273620605,rewriter 1
81_1,MARCO_4532458,29,13.575636863708496,rewriter 1
81_1,MARCO_4532453,30,13.548948287963867,rewriter 1
81_1,MARCO_3942604,31,13.540220260620117,rewriter 1
81_1,MARCO_6568085,32,13.539595603942871,rewriter 1
81_1,MARCO_6024410,33,13.532383918762207,rewriter 1
81_1,MARCO_2785712,34,13.525445938110352,rewriter 1
81_1,MARCO_2278774,35,13.51412296295166,rewriter 1
81_1,MARCO_1900271,36,13.482009887695312,rewriter 1
81_1,MARCO_7308619,37,13.471036911010742,rewriter 1
81_1,MARCO_5934323,38,13.459115982055664,rewriter 1
81_1,MARCO_297564,39,13.456930160522461,rewriter 1
81_1,MARCO_3413053,40,13.456559181213379,rewriter 1
81_1,MARCO_6154875,41,13.439976692199707,rewriter 1
81_1,MARCO_5996947,42,13.438304901123047,rewriter 1
81_1,MARCO_8270729,43,13.438304901123047,rewriter 1
81_1,MARCO_2950634,44,13.40962028503418,rewriter 1
81_1,MARCO_6154878,45,13.393417358398438,rewriter 1
81_1,MARCO_1418584,46,13.390600204467773,rewriter 1
81_1,MARCO_1293774,47,13.388938903808594,rewriter 1
81_1,MARCO_5665862,48,13.368658065795898,rewriter 1
81_1,MARCO_6980834,49,13.363636016845703,rewriter 1
81_1,MARCO_1179990,50,13.341327667236328,rewriter 1
81_1,MARCO_3517577,51,13.339807510375977,rewriter 1
81_1,MARCO_888454,52,13.322956085205078,rewriter 1
81_1,MARCO_3234091,53,13.309162139892578,rewriter 1
81_1,MARCO_6154880,54,13.305780410766602,rewriter 1
81_1,CAR_8d887e5f8702864936bb8d6127d8530aa0581519,55,13.281515121459961,rewriter 1
81_1,MARCO_2950629,56,13.281515121459961,rewriter 1
81_1,MARCO_7308612,57,13.273578643798828,rewriter 1
81_1,CAR_dfb7f7de735891a6c8ebfd6c5f044b9a43277ec4,58,13.24388313293457,rewriter 1
81_1,MARCO_6087038,59,13.232892036437988,rewriter 1
81_1,MARCO_6440457,60,13.223742485046387,rewriter 1
81_1,MARCO_5388115,61,13.203304290771484,rewriter 1
81_1,MARCO_2278770,62,13.202249526977539,rewriter 1
81_1,MARCO_1985088,63,13.189250946044922,rewriter 1
81_1,MARCO_4755489,64,13.188430786132812,rewriter 1
81_1,CAR_353cc3cd905dd74409d47f331979acca2cd72545,65,13.183158874511719,rewriter 1
81_1,MARCO_8270733,66,13.177264213562012,rewriter 1
81_1,CAR_b234ccd172890997aaa068b075018086ab6eda26,67,13.174389839172363,rewriter 1
81_1,MARCO_8115894,68,13.169788360595703,rewriter 1
81_1,MARCO_1900265,69,13.16552448272705,rewriter 1
81_1,MARCO_628872,70,13.154544830322266,rewriter 1
81_1,MARCO_3588972,71,13.14726448059082,rewriter 1
81_1,MARCO_5107800,72,13.123169898986816,rewriter 1
81_1,MARCO_4438563,73,13.103696823120117,rewriter 1
81_1,MARCO_480875,74,13.103696823120117,rewriter 1
81_1,MARCO_2763973,75,13.103696823120117,rewriter 1
81_1,MARCO_4688663,76,13.09093189239502,rewriter 1
81_1,MARCO_7699208,77,13.073938369750977,rewriter 1
81_1,MARCO_368558,78,13.06226921081543,rewriter 1
81_1,MARCO_8582892,79,13.05038833618164,rewriter 1
81_1,MARCO_1381087,80,13.044574737548828,rewriter 1
81_1,MARCO_5498472,81,13.044321060180664,rewriter 1
81_1,MARCO_5444509,82,13.03476333618164,rewriter 1
81_1,MARCO_8155851,83,13.027952194213867,rewriter 1
81_1,MARCO_3780354,84,13.015976905822754,rewriter 1
81_1,CAR_3914550976e39eb40bf1c718ea24cbd434cc91f3,85,13.00914192199707,rewriter 1
81_1,MARCO_1791176,86,13.008231163024902,rewriter 1
81_1,CAR_3add84966af079ed84e8b2fc412ad1dc27800127,87,12.99660873413086,rewriter 1
81_1,CAR_17135b6048832f4ebb05ae5f0b565bb91145464b,88,12.96052360534668,rewriter 1
81_1,MARCO_1619654,89,12.952454566955566,rewriter 1
81_1,MARCO_2319368,90,12.950868606567383,rewriter 1
81_1,MARCO_6115073,91,12.939953804016113,rewriter 1
81_1,CAR_aee7be1029e24bf71f3a08d4a5593938bda63769,92,12.924123764038086,rewriter 1
81_1,MARCO_4216422,93,12.908650398254395,rewriter 1
81_1,MARCO_368551,94,12.904411315917969,rewriter 1
81_1,MARCO_4516822,95,12.902772903442383,rewriter 1
81_1,MARCO_3613794,96,12.898397445678711,rewriter 1
81_1,MARCO_628867,97,12.891536712646484,rewriter 1
81_1,MARCO_2950628,98,12.865934371948242,rewriter 1
81_1,MARCO_5241443,99,12.864458084106445,rewriter 1
81_1,MARCO_1179991,100,12.848701477050781,rewriter 1
81_2,MARCO_7308614,1,16.57042121887207,rewriter 1
81_2,MARCO_7095685,2,16.501100540161133,rewriter 1
81_2,MARCO_888453,3,16.405357360839844,rewriter 1
81_2,MARCO_3942603,4,16.255844116210938,rewriter 1
81_2,MARCO_7095684,5,16.008562088012695,rewriter 1
81_2,MARCO_1418584,6,15.911624908447266,rewriter 1
81_2,MARCO_2950628,7,15.746017456054688,rewriter 1
81_2,MARCO_2763973,8,15.671974182128906,rewriter 1
81_2,MARCO_6273827,9,15.646966934204102,rewriter 1
81_2,MARCO_1619657,10,15.638813018798828,rewriter 1
81_2,MARCO_2950631,11,15.630908966064453,rewriter 1
81_2,MARCO_3780358,12,15.611860275268555,rewriter 1
81_2,MARCO_5665865,13,15.552695274353027,rewriter 1
81_2,MARCO_7308619,14,15.502586364746094,rewriter 1
81_2,MARCO_8270731,15,15.396896362304688,rewriter 1
81_2,MARCO_6115073,16,15.350120544433594,rewriter 1
81_2,CAR_8d887e5f8702864936bb8d6127d8530aa0581519,17,15.205179214477539,rewriter 1
81_2,MARCO_8270733,18,15.156800270080566,rewriter 1
81_2,CAR_3add84966af079ed84e8b2fc412ad1dc27800127,19,15.061700820922852,rewriter 1
81_2,MARCO_5822849,20,14.995953559875488,rewriter 1
81_2,MARCO_6154874,21,14.982800483703613,rewriter 1
81_2,MARCO_6024410,22,14.877067565917969,rewriter 1
81_2,MARCO_1900272,23,14.862266540527344,rewriter 1
81_2,MARCO_3413053,24,14.860374450683594,rewriter 1
81_2,MARCO_4532453,25,14.849798202514648,rewriter 1
81_2,CAR_57d62ccfb76f75dbd9a73c2d7b6ea74a8c0d601f,26,14.843435287475586,rewriter 1
